CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
6,0,0,0.0,0.0,0.0,100.0,25,1,0,8,10,0,3,2,46,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,1,0,1
6,7,9,1.0,25.26619429851844,1.403677461028802,83.3464668926853,25,1,0,12,5,2,1,3,46,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,3,1,0,0,0,4,0,0,0,1,1,0,0,3,0,0
4,3,3,0.5,2.3774437510817346,0.1320802083934297,93.70439182345002,17,1,1,3,5,0,1,2,16,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0
6,3,4,0.5,3.1699250014423126,0.17610694452457293,95.55995725405364,14,2,0,6,4,0,1,2,23,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,3,2,0,0,0,3,0,0,0,1,2,0,0,1,0,1
2,2,2,0.5,1.0,0.05555555555555555,99.30320520837944,13,0,0,3,5,2,0,1,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,23,0,0,9,8,3,0,1,47,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,58.58380677495379,48,11,0,12,20,6,0,3,84,0,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,6,0,2,6,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
1,5,5,1.0,11.60964047443681,0.6449800263576005,85.31352359973694,27,1,0,8,12,12,0,0,49,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,9,10,1.5,47.548875021634686,2.6416041678685938,80.27338534325065,20,0,0,8,10,11,0,1,47,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,2,1,0,0,2,1,0,0,0,0,1
6,14,17,3.0555555555555554,197.77093622910328,10.987274234950183,76.5211832470119,26,12,2,8,15,14,0,1,47,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,4,1,0,0,0,1,2,0,0,2,1,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,13,0,0,3,8,1,0,0,40,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,89.64275479658468,25,2,0,8,13,5,2,1,51,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
