CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
8,3,3,0.5,2.3774437510817346,0.1320802083934297,83.7327557217011,37,1,1,10,13,0,5,2,46,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,3,2,0,0,0,0,0,1,0,4,1,0,0,1,0,1
7,14,19,1.6363636363636365,118.37412575851823,6.57634031991768,55.54448450046941,25,1,1,12,10,3,4,4,41,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,5,3,1,0,0,0,3,0,0,0,1,1,0,0,2,0,0
12,16,17,2.5,170.0,9.444444444444445,70.94783226484675,34,3,2,4,5,2,2,4,32,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,3,0,0,3,3,3,1,0,0,2,1,2,0,0,2,0,0,0,0,0
6,3,4,0.5,3.1699250014423126,0.17610694452457293,95.55995725405364,14,2,0,6,5,0,1,2,23,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,3,2,0,0,0,3,0,0,0,1,2,0,0,1,0,1
2,2,2,0.5,1.0,0.05555555555555555,98.12634848339692,14,0,0,4,6,2,2,1,30,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,21,0,0,9,8,1,0,1,45,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,8,9,1.0,27.0,1.5,70.00849489399789,46,12,2,12,19,4,0,3,80,0,1,0,1,0,0,0,0,0,2,0,6,0,0,1,0,0,0,6,0,4,6,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0
1,5,5,1.0,11.60964047443681,0.6449800263576005,87.26453559116719,29,1,0,11,12,9,0,0,54,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,9,10,1.5,47.548875021634686,2.6416041678685938,81.7829176829934,23,0,0,10,7,12,0,1,53,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,5,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0
5,13,14,2.8125,145.70481390180552,8.09471188343364,80.27644136904959,26,11,0,8,11,6,0,1,42,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,13,0,0,3,5,2,0,0,33,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,3,3,0.5,2.3774437510817346,0.1320802083934297,89.0230123382949,22,3,0,9,10,6,1,1,46,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,4,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0
12,30,42,6.0,1236.5364300933468,68.69646833851927,70.76074623329514,55,3,2,17,29,17,11,3,61,0,1,0,1,8,0,0,0,1,0,1,1,0,0,0,5,0,2,1,0,3,5,3,1,0,0,1,0,0,0,6,1,0,0,1,0,0
13,19,21,3.0,267.61943334694587,14.867746297052548,75.1416476036932,58,3,0,12,49,9,2,6,67,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,3,0,2,2,0,9,4,3,1,0,0,7,2,0,0,10,1,0,0,0,0,0
5,15,22,3.5,300.83057586185595,16.712809770103107,89.93208544580081,12,1,0,6,2,10,4,1,19,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,3,1,0,0,0,3,1,0,0,2,1,0,0,0,0,0
5,6,7,1.0,18.094737505048094,1.0052631947248942,89.95976122580406,19,1,0,10,7,1,2,1,37,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,3,2,0,0,0,2,0,0,0,3,1,0,0,0,0,1
5,6,7,1.0,18.094737505048094,1.0052631947248942,85.89766170694236,23,2,0,13,6,7,1,2,45,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,3,3,0,0,0,2,1,0,0,2,1,0,0,0,0,0
16,13,15,2.0,111.01319154423277,6.167399530235154,67.055116962111,47,5,1,16,13,3,1,2,54,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,4,0,3,4,0,7,3,4,1,0,0,3,0,0,0,7,1,0,1,0,0,1
5,8,8,1.5,36.0,2.0,84.6864272921748,28,3,1,7,9,9,0,1,46,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,3,3,1,0,0,2,1,0,0,2,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,86.03918810797515,27,2,1,11,0,2,0,2,42,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,3,4,0.5,3.1699250014423126,0.17610694452457293,80.91043385876712,32,1,0,12,12,6,5,3,34,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3,3,2,0,0,0,2,0,0,0,2,1,0,0,1,0,1
3,5,6,0.5,6.965784284662087,0.3869880158145604,90.56993649537641,17,1,0,8,6,3,2,1,32,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,12,12,2.0,86.03910001730776,4.779950000961542,87.29273798216894,17,2,0,9,9,0,0,1,47,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,4,3,1,0,0,3,2,0,0,1,1,0,0,0,0,0
1,3,3,0.5,2.3774437510817346,0.1320802083934297,96.18947463240227,24,5,0,9,97,1,0,2,124,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,3,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
6,11,11,2.0,76.10749561002055,4.228194200556697,83.59852689429529,16,5,1,8,20,9,0,2,38,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,3,3,0,0,0,2,0,0,0,2,1,0,0,0,0,1
15,26,35,3.15,518.2234789250554,28.790193273614186,74.44309240418343,46,5,1,13,32,3,1,2,58,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,7,4,6,1,0,0,9,3,0,0,7,1,0,0,0,0,1
3,10,10,2.0,66.43856189774725,3.691031216541514,81.67857255691509,28,0,0,7,14,14,0,1,36,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
7,8,8,1.5,36.0,2.0,87.87191532708208,19,3,0,11,5,1,0,3,37,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,3,2,1,0,0,1,1,0,0,0,1,0,0,2,0,0
3,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,89.64435631045289,18,0,0,7,3,8,0,1,25,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
11,34,46,6.25,1462.6455668594729,81.25808704774849,77.2827201787561,31,3,0,17,9,11,6,2,65,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6,6,2,0,0,0,5,2,0,0,4,1,0,0,0,0,0
2,0,0,0.0,0.0,0.0,100.0,18,1,0,8,12,4,0,1,41,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,4,4,1.0,8.0,0.4444444444444444,86.62485777122141,24,0,0,8,10,3,0,1,38,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
2,18,24,1.6,160.1251200553848,8.895840003076934,87.05951369247079,18,1,0,11,4,8,7,1,36,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,70.93593157907827,65,1,1,12,45,14,0,4,70,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,2,3,2,1,0,0,2,0,0,0,0,5,0,0,0,0,0
1,8,8,1.5,36.0,2.0,71.7655091153329,55,2,1,17,28,10,0,4,78,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,1,1,0,2,5,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0
3,0,0,0.0,0.0,0.0,100.0,14,1,0,8,5,3,0,3,31,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
9,6,7,1.0,18.094737505048094,1.0052631947248942,83.2410540205315,28,3,0,10,17,3,0,3,56,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,5,3,4,1,0,0,3,0,0,0,5,2,0,1,0,0,0
4,5,6,0.5,6.965784284662087,0.3869880158145604,92.07798985530144,16,4,0,10,11,5,2,1,43,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,63.42139599032515,27,3,0,16,9,14,0,2,49,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,3,4,0.5,3.1699250014423126,0.17610694452457293,88.20868023709694,26,1,0,14,7,2,2,3,41,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,3,4,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0
3,3,3,0.5,2.3774437510817346,0.1320802083934297,86.54804068205185,17,2,0,9,0,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,6,6,1.0,15.509775004326936,0.861654166907052,83.75364903951778,22,2,1,10,3,2,1,2,29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,15,19,2.0,148.46184263312372,8.24788014628465,74.37725097066463,38,1,0,10,11,15,0,3,48,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,3,2,1,0,0,7,0,0,0,4,1,0,0,1,0,0
3,5,5,1.0,11.60964047443681,0.6449800263576005,87.11496453535992,14,0,0,4,1,0,1,1,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
