CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
7,0,0,0.0,0.0,0.0,100.0,36,1,0,9,11,0,4,2,45,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,3,2,0,0,0,0,0,1,0,4,1,0,0,1,0,1
7,11,14,1.5,72.64806399138325,4.036003555076848,83.07116151067268,24,1,1,12,7,6,0,4,40,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,3,1,0,0,0,5,1,0,0,1,1,0,0,3,0,0
11,3,3,0.5,2.3774437510817346,0.1320802083934297,83.21069077695466,35,3,1,5,4,2,1,3,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,3,0,0,2,3,3,0,0,0,1,0,4,0,0,2,0,0,0,0,0
6,3,4,0.5,3.1699250014423126,0.17610694452457293,88.5511632130956,14,2,0,6,4,0,1,2,23,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,3,2,0,0,0,3,0,0,0,1,2,0,0,1,0,1
2,2,2,0.5,1.0,0.05555555555555555,99.30320520837944,13,0,0,3,6,2,2,1,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,91.46056392111616,18,0,0,9,3,3,1,0,47,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,79.59122539245202,55,12,0,18,20,4,0,3,86,0,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,6,0,3,6,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0
1,7,8,1.875,42.11032383086406,2.3394624350480036,85.95240114988759,26,1,0,12,11,19,0,0,49,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,9,10,1.5,47.548875021634686,2.6416041678685938,81.11351223930377,19,0,0,8,10,10,0,1,46,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,0,0,0,0,2,1,0,0,2,1,0,0,0,0,1
5,12,14,3.2142857142857144,161.32331253245204,8.962406251802891,79.54937773192867,23,10,0,9,11,4,0,1,44,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,4,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,13,0,0,3,6,2,0,0,41,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5,7,1.3333333333333333,21.67132888561538,1.2039627158675212,88.61861572579541,22,2,0,9,13,8,2,1,51,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,2,2,0.5,1.0,0.05555555555555555,89.15490647646472,37,0,0,15,28,8,2,3,62,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,6,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0
12,9,12,1.0,38.03910001730775,2.1132833342948754,79.83564793058113,53,2,0,11,45,17,0,1,71,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,4,0,2,1,0,6,3,3,2,0,0,6,1,0,0,9,1,0,0,0,0,0
5,14,22,3.888888888888889,325.7403655538172,18.096686975212066,90.63960976873734,12,1,0,6,2,9,4,1,19,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,3,1,0,0,0,3,1,0,0,2,1,0,0,0,0,0
4,3,4,0.5,3.1699250014423126,0.17610694452457293,94.38059026589977,16,1,0,10,5,1,1,1,35,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,2,0,0,0,2,0,0,0,2,1,0,0,0,0,1
5,6,7,1.0,18.094737505048094,1.0052631947248942,89.60163487439239,22,2,0,12,6,7,1,2,38,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,3,3,0,0,0,2,1,0,0,2,1,0,0,0,0,0
23,13,16,2.2222222222222223,131.57118997834996,7.309510554352776,66.85497062517193,52,7,1,18,18,2,1,3,57,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,3,0,6,3,0,12,3,6,2,0,0,2,0,0,0,5,1,0,0,0,0,0
5,5,5,1.0,11.60964047443681,0.6449800263576005,85.86532095056918,18,1,0,6,6,0,0,1,36,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,2,0,0,0,1,1,0,0,2,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,78.33197533096276,28,2,1,13,0,2,0,2,44,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,6,7,1.0,18.094737505048094,1.0052631947248942,77.79801177645463,33,1,0,11,12,6,6,4,39,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3,3,2,0,0,0,2,0,0,0,2,1,0,0,1,0,1
3,5,5,1.0,11.60964047443681,0.6449800263576005,94.76186971727518,15,1,0,7,5,4,1,1,34,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
6,8,8,1.5,36.0,2.0,91.22309421451507,16,2,0,8,9,0,0,1,38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,4,3,1,0,0,2,2,0,0,1,1,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,22,4,0,8,98,0,0,2,122,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
8,12,13,2.0,93.20902501875007,5.178279167708337,84.03169344532508,17,6,1,11,22,9,0,2,45,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,3,3,6,0,0,0,3,1,0,0,3,1,0,0,0,0,0
10,20,23,3.0,298.21303854722805,16.56739103040156,73.60537015205507,47,5,1,13,37,3,1,2,64,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,6,4,3,2,0,0,6,1,0,0,7,1,0,0,0,0,1
3,11,13,3.3333333333333335,149.9087034742829,8.328261304126828,83.29781073970406,29,0,0,8,14,15,1,1,40,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
8,10,12,1.5,59.79470570797253,3.321928094887363,84.7678152069601,24,3,0,11,8,2,1,3,41,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,3,2,1,0,0,3,1,0,0,0,1,0,0,2,0,0
2,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,91.15836448865237,19,0,0,10,3,7,1,1,41,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6,22,29,3.5625,460.7150291004658,25.595279394470325,78.64608452392957,36,0,2,17,8,8,6,1,63,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,5,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
2,0,0,0.0,0.0,0.0,100.0,22,1,0,9,12,3,0,1,48,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,2,0.5,1.0,0.05555555555555555,99.60632054618416,14,1,0,8,7,3,3,0,35,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,16,18,2.0,144.0,8.0,84.63031389685639,22,1,0,12,4,7,4,2,49,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,68.8039813819215,68,1,1,10,41,10,0,4,69,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,2,3,2,1,0,0,2,0,0,0,0,5,0,0,0,0,0
1,5,5,1.0,11.60964047443681,0.6449800263576005,68.36008381744386,77,2,0,17,43,14,0,5,67,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,4,0,1,1,0,1,5,2,0,0,0,1,1,0,0,0,6,0,0,1,0,0
4,3,3,0.5,2.3774437510817346,0.1320802083934297,67.33817411133128,18,1,0,10,5,4,1,4,32,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
8,8,8,1.5,36.0,2.0,85.07172325009832,24,2,1,8,17,4,0,1,48,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,5,3,3,1,0,0,4,0,0,0,4,2,0,0,0,0,1
6,6,6,1.0,15.509775004326936,0.861654166907052,88.29659869427441,19,5,0,11,11,5,1,2,46,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,1,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1
