CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
4,9,9,1.5,42.793987519471216,2.377443751081734,69.57204560999716,7,2,0,4,0,1,3,4,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
7,13,21,3.111111111111111,241.762061585218,13.431225643623222,58.438896045734204,17,1,4,5,4,4,3,3,11,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,79.87684562974381,4,0,0,3,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,70.77037628329926,8,1,0,3,0,2,2,3,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,10,11,1.5,54.81181356564148,3.0451007536467487,67.83805293934952,8,1,0,5,0,1,4,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,6,7,2.0,36.18947501009619,2.0105263894497885,68.07419099326566,10,1,0,4,0,2,2,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
2,10,15,3.3333333333333335,166.09640474436813,9.227578041353786,62.18999403163665,15,2,2,7,2,4,4,5,13,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,81.72183132055679,3,1,0,3,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,5,5,1.0,11.60964047443681,0.6449800263576005,70.32665215562193,9,1,0,4,0,3,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,68.46489237780787,11,1,0,4,0,1,1,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
1,10,12,2.3333333333333335,93.01398665684617,5.167443703158121,86.63386467971249,10,1,1,3,0,2,3,3,9,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
4,5,6,0.5,6.965784284662087,0.3869880158145604,99.71271166490625,8,1,2,6,4,2,1,2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,70.19214923164533,9,1,0,3,0,2,1,3,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
2,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,76.47338445371699,4,1,1,2,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,79.7423427057672,3,1,0,2,0,2,2,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,84.58174335197131,2,1,0,2,1,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,4,0,0,2,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,0.0,0.0,0.0,100.0,10,1,0,5,3,3,1,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,19,24,4.375,446.03238891157645,24.779577161754247,60.96520359460485,12,1,1,5,0,6,4,3,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,1
4,0,0,0.0,0.0,0.0,100.0,19,3,0,11,11,10,1,2,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,12,18,2.0,129.05865002596164,7.169925001442313,89.20055835631229,11,1,0,6,0,8,6,3,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,7,9,1.2,30.319433158222125,1.6844129532345624,71.4754535562128,6,1,0,5,0,0,4,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,3,1,0,2,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,2,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,10,11,2.3333333333333335,85.26282110210897,4.736823394561609,73.40655818579066,4,1,1,2,0,4,4,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,10,15,5.0,249.1446071165522,13.841367062030677,64.99380095474905,10,2,1,3,0,4,5,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,6,1,1,4,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,2,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,3,0,0,1,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,3,1,0,3,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,84.44724042799471,2,1,0,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,14,24,4.444444444444445,406.1178583528111,22.56210324182284,61.92197187482932,11,1,3,2,0,9,3,3,5,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1
2,27,36,4.2,718.9389903271166,39.941055018173145,67.38384394000678,19,3,1,10,3,8,8,3,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,1,3,1,0,0,0,0,0,0,3,3,0,0,0,0,1
5,10,15,2.142857142857143,106.77626019280808,5.932014455156004,92.1552469902525,10,2,2,5,0,6,3,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,2,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,100.0,8,1,0,3,0,1,0,3,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,14,18,2.4,164.4777326328885,9.13765181293825,68.1720830377643,6,1,2,3,1,6,4,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,7,2,0,5,0,4,0,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,24,46,3.9473684210526314,832.5326646046311,46.251814700257285,86.86038800040863,8,4,2,4,2,16,14,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1
8,29,60,5.217391304347826,1520.7592680399357,84.48662600221866,49.90503618187238,25,2,5,7,1,16,9,4,12,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,6,0,2,0,0,1
8,23,45,5.294117647058823,1077.6721130606413,59.870672947813404,73.49161154545146,18,2,2,6,0,10,8,4,12,2,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1
1,2,3,1.0,3.0,0.16666666666666666,100.0,2,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,84.58174335197131,2,1,0,2,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,5,5,1.0,11.60964047443681,0.6449800263576005,72.44064369438814,7,1,0,3,0,0,0,3,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
