CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,8,9,1.0,27.0,1.5,94.88380030337892,9,1,0,3,0,13,3,2,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
5,8,14,2.7,113.4,6.300000000000001,89.14362574560123,18,1,2,5,7,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,84.71624627594792,2,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,7,8,1.875,42.11032383086406,2.3394624350480036,95.49768248095445,10,1,0,3,0,9,2,2,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,7,1,0,5,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,2,2,0.5,1.0,0.05555555555555555,100.0,9,1,0,4,0,2,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
7,10,15,3.3333333333333335,166.09640474436813,9.227578041353786,87.128608058687,21,2,2,7,2,6,3,4,14,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,5,1,0,3,6,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,100.0,8,1,0,4,0,2,3,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,2,2,0.5,1.0,0.05555555555555555,74.77177265599688,10,1,0,4,0,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
1,11,18,2.857142857142857,177.91362610134675,9.88409033896371,87.59465213548854,14,1,1,4,4,4,3,2,13,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
6,21,29,4.5,573.1974236726282,31.844301315146012,61.73619999831588,10,1,0,6,6,8,4,1,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,3,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,97.1432309287372,11,1,0,4,0,1,1,2,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
2,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,100.0,6,1,1,2,0,5,2,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,5,1,0,2,2,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,4,0,0,1,1,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,6,0,0,3,2,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,0.0,0.0,0.0,100.0,13,1,0,5,4,3,1,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,11,16,4.166666666666667,230.62877457581988,12.81270969865666,86.78640344178338,13,1,1,4,0,6,3,2,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1
1,0,0,0.0,0.0,0.0,100.0,11,0,0,5,12,10,1,1,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,12,18,2.0,129.05865002596164,7.169925001442313,86.17278877974361,15,1,0,5,2,18,5,2,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
4,14,18,3.3333333333333335,228.44129532345625,12.691183073525346,83.42087639447423,9,1,1,4,1,2,5,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1
