CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,6,6,1.0,15.509775004326936,0.861654166907052,91.14493727268655,11,1,0,6,0,5,1,2,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,17,27,4.909090909090909,541.7746202311814,30.098590012843413,86.99388917994594,10,0,1,4,0,10,11,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,17,26,4.363636363636363,463.74123871640217,25.763402150911233,87.22194574882889,16,0,0,4,0,12,3,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
11,39,77,8.620689655172415,3508.413541830976,194.91186343505422,71.40705771428675,30,2,4,4,8,26,12,1,11,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,5,0,2,1,0,1
3,12,21,3.5,263.494743803005,14.638596877944723,80.87264255212249,15,1,0,7,0,14,5,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11,34,84,7.12962962962963,3046.8249682599258,169.2680537922181,66.4573530858168,24,4,4,6,0,21,14,4,12,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1
6,22,43,4.117647058823529,789.5817160057802,43.86565088921001,71.8154328149061,21,2,1,8,1,10,9,3,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1
14,43,106,6.805555555555555,3914.447102211486,217.46928345619366,57.370555118030886,30,5,5,9,0,24,9,5,16,0,0,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1
1,14,24,3.2,292.404858014024,16.244714334112444,61.134111633190976,14,0,1,5,3,6,5,2,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
5,22,43,9.692307692307692,1858.5538853674518,103.2529936315251,72.7804752260699,20,2,1,6,0,15,5,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1
6,22,42,6.3,1179.9656062914287,65.55364479396826,78.28077901888493,20,1,1,5,0,16,8,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
3,32,46,5.0,1150.0,63.888888888888886,68.096537025317,31,2,1,7,0,23,9,3,13,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1
4,17,27,4.909090909090909,541.7746202311814,30.098590012843413,82.00678027036065,18,1,1,5,0,12,7,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
1,16,24,3.6363636363636362,349.09090909090907,19.39393939393939,70.21090041408598,20,1,2,6,0,12,1,3,14,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
6,20,34,4.714285714285714,692.7433317805173,38.48574065447318,83.90360586341987,11,3,2,3,0,11,3,2,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1
5,15,37,6.0,867.3297122250912,48.18498401250506,75.44825595189575,18,3,0,6,0,30,4,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,9,12,2.0,76.0782000346155,4.226566668589751,82.8140522247806,15,1,0,6,0,12,2,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,8,11,1.0,33.0,1.8333333333333333,92.51362461218604,9,1,0,4,1,10,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,16,51,9.9,2019.6000000000001,112.2,76.31434359754029,28,5,0,7,0,24,10,3,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,4,0,0,0,1,0,0,0,0,2,0,1,0,0,1
4,7,11,2.25,69.4820343209257,3.860113017829206,91.01430166801372,14,1,0,4,0,19,0,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,9,9,1.5,42.793987519471216,2.377443751081734,76.51480243932319,17,1,0,5,0,22,1,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,100.0,5,1,1,3,3,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
