CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,6,6,1.0,15.509775004326936,0.861654166907052,97.5264173841805,10,1,0,6,0,5,1,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,38,93,11.071428571428571,5403.491079020663,300.19394883448126,71.31130648855057,28,1,5,11,0,25,20,3,19,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
4,21,32,5.0,702.7707876446017,39.04282153581121,86.75531284531424,16,0,0,5,0,14,3,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1
8,31,51,7.857142857142857,1985.2172358050266,110.28984643361258,79.10398886071799,28,1,2,6,7,21,10,1,18,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,1
3,12,21,3.5,263.494743803005,14.638596877944723,86.97669389846925,16,1,0,7,0,14,5,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11,32,81,7.42,3005.1,166.95,75.77974655632559,25,4,4,7,0,20,13,4,13,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1
6,22,43,4.117647058823529,789.5817160057802,43.86565088921001,84.0511684992333,20,2,0,8,1,10,9,3,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1
7,23,49,4.444444444444445,985.1312704301939,54.729515023899665,65.8516009698645,22,4,1,10,0,16,12,4,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,14,24,3.2,292.404858014024,16.244714334112444,76.51163798022773,14,0,1,5,3,6,5,2,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
7,29,59,10.0,2866.208787125268,159.23382150695932,78.85503048743797,28,2,4,8,1,18,7,2,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1
6,22,42,6.3,1179.9656062914287,65.55364479396826,79.81437702667837,22,1,1,5,0,17,8,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
1,27,52,5.95,1471.1621931693774,81.7312329538543,67.08616833050033,33,2,2,8,0,20,12,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1
4,16,24,4.8,460.79999999999995,25.599999999999998,82.35915285138272,20,1,1,5,0,13,6,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
1,18,27,4.5,506.64588767524094,28.146993759735608,71.83798367259061,18,1,2,6,0,13,4,3,14,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1
8,18,34,5.5,779.7759752697124,43.32088751498402,86.45795273689457,15,3,0,4,0,11,5,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,1
4,16,29,3.1666666666666665,367.3333333333333,20.407407407407405,76.25197617550323,18,1,0,6,0,18,7,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1
5,11,21,4.0,290.592255965533,16.14401422030739,78.52956526773792,17,1,2,6,0,13,4,3,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,12,16,2.25,129.05865002596164,7.169925001442313,87.0332971667855,11,1,0,4,1,12,1,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
11,20,56,9.692307692307692,2345.8095875019408,130.32275486121893,75.66004344973021,28,5,0,8,0,25,10,3,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,4,0,0,0,2,1,0,0,0,2,0,1,0,0,1
5,11,16,2.5714285714285716,142.3309008810774,7.907272271170967,90.97224096349284,13,1,0,3,0,17,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,1
6,15,30,3.6363636363636362,426.2062467936566,23.67812482186981,81.2398209181428,22,3,0,5,0,32,3,1,12,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1
2,2,2,0.5,1.0,0.05555555555555555,100.0,9,0,0,2,1,2,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,12,28,9.0,903.4105501817314,50.18947501009619,87.8451747389414,17,1,1,7,1,10,10,2,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,11,18,2.25,140.10698055481055,7.78372114193392,91.1816429304385,13,5,0,6,0,13,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,21,37,3.75,609.434042410553,33.85744680058628,82.33430297626948,20,5,0,7,0,33,4,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,5,0,0,0,2,1,0,0,0,2,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,8,0,0,5,2,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,16,33,8.555555555555555,1129.3333333333333,62.74074074074073,84.31010775629403,18,1,1,4,0,11,10,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1
5,13,27,4.0,399.64748955923795,22.202638308846552,73.53789003027731,16,1,3,3,1,19,6,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1
7,16,57,6.333333333333333,1444.0,80.22222222222223,84.88029620909245,19,5,1,8,2,22,18,6,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,7,9,1.2,30.319433158222125,1.6844129532345624,92.03303492601077,15,1,1,6,0,5,2,2,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,99.9014702455938,12,1,0,5,0,5,1,2,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,24,38,6.0,1045.3714501644238,58.07619167580132,84.42133962190859,21,2,0,6,0,14,7,4,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1
5,12,20,4.642857142857143,332.88937506696453,18.493854170386918,91.87301527111356,10,3,1,5,0,11,4,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,13,24,2.4,213.1453277649269,11.841407098051494,93.21619091843289,10,2,0,4,0,12,9,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,15,42,5.090909090909091,835.3642437155669,46.409124650864825,85.24112516685881,15,4,1,8,2,16,14,3,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,10,11,2.3333333333333335,85.26282110210897,4.736823394561609,87.27590419995428,16,3,0,8,0,9,2,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,9,12,1.1428571428571428,43.47325716263743,2.415180953479857,91.81248046668016,9,2,1,5,0,6,3,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,12,21,3.25,244.67369067421893,13.592982815234386,93.14382586503483,14,2,0,3,0,19,5,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
5,9,11,2.8,97.63369004442322,5.424093891356845,91.16404756893598,14,1,0,5,1,8,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,11,15,1.875,97.296514274174,5.405361904120777,70.61280302605039,6,1,0,3,0,4,4,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,9,13,3.2,131.8688800600002,7.326048892222234,82.70515042366806,15,1,0,6,2,11,3,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
9,20,27,3.0,350.07617568587636,19.44867642699313,70.28693378407934,24,5,1,10,9,1,5,5,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,3,1,6,0,0,0,1,0,0,0,0,3,0,1,0,0,1
7,15,21,2.5454545454545454,208.84106092889172,11.602281162716206,77.00227314021392,21,3,1,10,9,5,3,4,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,1,4,0,0,0,1,0,0,0,0,3,0,1,0,0,1
5,13,20,4.0625,300.6607270989638,16.70337372772021,82.82608627687844,16,2,0,6,0,13,4,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,3,0,0,0,2,0,0,0,0,2,0,1,0,0,1
4,13,17,2.4444444444444446,153.7738282871965,8.542990460399805,85.75849678712295,16,1,0,7,0,16,3,2,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
6,18,37,6.0,925.7233503201933,51.42907501778851,86.2591299472196,16,2,1,4,0,19,8,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,7,1,0,3,0,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,10,16,2.142857142857143,113.89467753899528,6.327482085499738,94.91182323864534,10,1,0,4,0,13,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,11,11,2.0,76.10749561002055,4.228194200556697,87.75350044214521,19,0,0,4,0,1,2,3,20,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,3,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
4,10,13,2.6666666666666665,115.16017395609524,6.397787442005291,84.94491126808703,13,1,0,5,0,8,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,14,18,3.3333333333333335,228.44129532345625,12.691183073525346,86.62660560973532,11,1,0,4,0,11,5,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,16,24,3.6363636363636362,349.09090909090907,19.39393939393939,83.30758126888807,15,1,0,4,0,19,6,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
