CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,6,6,1.0,15.509775004326936,0.861654166907052,95.62230405322208,11,1,0,6,0,5,1,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
11,35,75,8.653846153846153,3329.1019581133196,184.9501087840733,68.58500381009324,21,1,5,12,4,13,16,3,20,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1
5,26,37,6.352941176470588,1104.879830217165,61.3822127898425,84.46461137295631,18,1,1,8,2,11,6,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
8,36,59,8.36,2550.013807711406,141.66743376174477,81.32189970984052,20,1,1,5,4,18,12,2,12,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,4,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,1
3,12,21,3.5,263.494743803005,14.638596877944723,87.46676324100892,17,1,0,7,0,21,5,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11,31,78,6.24,2411.3064281915003,133.96146823286114,79.06421016897787,22,4,3,6,0,15,14,4,11,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1
6,20,39,3.25,547.8043860269731,30.433577001498506,84.67757499330652,16,2,1,7,1,5,9,3,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1
14,42,102,5.666666666666667,3116.759470366124,173.1533039092291,77.21666206691197,25,5,4,8,0,17,19,5,13,0,0,0,4,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1
1,14,24,3.2,292.404858014024,16.244714334112444,77.02813613374362,13,0,1,5,3,6,5,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
7,33,69,11.25,3915.710935152,217.53949639733332,83.07628026507537,16,2,3,5,1,17,11,2,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1
