CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,15,25,2.909090909090909,284.1374978624377,15.785416547913208,83.25296215484744,12,0,2,5,2,4,2,1,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,14,3,0,6,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,7,9,0.5,12.63309714925922,0.701838730514401,87.8569020904998,9,0,0,5,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,2,2,0.5,1.0,0.05555555555555555,100.0,11,1,0,3,5,0,0,2,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,6,0,0,2,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,9,1,0,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,96.47160075134535,12,1,0,3,0,10,0,2,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
5,8,9,1.8,48.6,2.7,76.41333888872029,17,2,1,4,2,3,1,1,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,1,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0
1,10,11,2.3333333333333335,85.26282110210897,4.736823394561609,96.02429761833278,8,0,1,2,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,0.0,0.0,0.0,100.0,10,1,0,4,1,4,0,1,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,8,8,1.5,36.0,2.0,96.59880623858112,9,0,0,2,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,9,12,2.0,76.0782000346155,4.226566668589751,90.86082379974698,7,0,0,1,2,4,3,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,8,12,1.3333333333333333,48.0,2.6666666666666665,86.91191250807908,12,3,1,6,1,5,1,3,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,84.93041592505078,12,1,0,4,1,7,0,2,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,1
3,6,6,1.0,15.509775004326936,0.861654166907052,88.19340607161548,13,1,0,5,0,15,1,1,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,7,0,0,3,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,7,2,0,6,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,9,10,1.5,47.548875021634686,2.6416041678685938,92.5014115165799,9,1,0,4,0,8,1,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,8,30,3.3333333333333335,300.0,16.666666666666668,78.5681562885979,12,4,0,6,1,18,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,15,21,3.5,287.15645877722613,15.953136598734785,91.08644991502506,11,2,0,7,0,19,4,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,11,12,1.5,62.26976913547136,3.4594316186372978,91.68121663704001,9,1,1,3,0,12,3,2,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,6,1,1,2,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,14,21,2.8,223.8724694169871,12.437359412054839,77.73276326271308,13,1,1,4,2,7,9,2,11,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
