CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
3,13,26,2.55,245.33915331275438,13.629952961819688,86.89206516644742,16,0,2,7,2,4,6,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,14,3,0,5,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,7,9,0.5,12.63309714925922,0.701838730514401,96.55063099280832,10,0,0,5,1,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,10,0,0,2,6,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,90.4603681253306,8,0,0,2,2,3,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,9,1,0,5,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,95.5189383697356,10,1,0,4,0,10,0,2,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,15,21,3.5,287.15645877722613,15.953136598734785,93.47542517157127,9,0,2,1,0,9,2,1,4,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,10,11,2.3333333333333335,85.26282110210897,4.736823394561609,97.18389709288634,8,0,1,4,1,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,14,23,4.166666666666667,364.87151336385375,20.27063963132521,86.59124460840069,18,0,1,5,3,11,4,1,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
