CC,vocabulary,length,difficulty,effort,time,mi_index,LOC,loops,comparisons,variables,string_literals,numeric_literals,math_operations,Maxnested_blocks,unique_words,false,none,true,and,as,assert,async,await,break,class,continue,def,del,elif,else,except,finally,for,from,global,if,import,in,is,lambda,nonlocal,not,or,pass,print,raise,return,try,while,with,yield,accuracy
2,5,7,1.3333333333333333,21.67132888561538,1.2039627158675212,96.81739816394608,9,0,0,2,8,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1
3,0,0,0.0,0.0,0.0,100.0,14,3,0,5,1,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,7,9,0.5,12.63309714925922,0.701838730514401,96.55063099280832,10,0,0,5,1,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,9,0,0,2,6,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,5,6,1.3333333333333333,18.575424759098897,1.0319680421721609,90.4603681253306,8,0,0,2,2,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,8,1,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,6,0,1,3,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,11,15,1.875,97.296514274174,5.405361904120777,91.78854568975463,13,0,2,3,0,7,5,1,8,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,10,11,2.3333333333333335,85.26282110210897,4.736823394561609,93.74937044745573,7,0,1,3,0,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0.0,0.0,0.0,0.0,9,1,0,4,3,6,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,10,15,1.9285714285714286,96.09863417352727,5.338813009640404,99.08567153859214,5,0,1,2,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,14,17,3.0555555555555554,197.77093622910328,10.987274234950183,71.66803273673,4,0,0,1,1,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
6,14,21,2.8,223.8724694169871,12.437359412054839,88.83394403744555,10,3,1,6,2,7,5,3,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,2,2,0.5,1.0,0.05555555555555555,82.37587162552974,4,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
5,8,12,2.4,86.39999999999999,4.8,91.34592827193718,14,1,0,5,1,11,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,5,0,0,2,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,4,6,0.6666666666666666,8.0,0.4444444444444444,97.57791756123491,10,1,0,4,0,10,2,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,3,3,0.5,2.3774437510817346,0.1320802083934297,84.44724042799471,2,1,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,21,39,2.1666666666666665,371.15082222480527,20.619490123600293,80.34224871072485,17,5,0,6,1,14,13,2,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,14,18,3.3333333333333335,228.44129532345625,12.691183073525346,65.65670658270541,8,1,0,4,0,3,3,2,8,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,11,12,1.5,62.26976913547136,3.4594316186372978,96.15552863910408,7,1,0,3,0,16,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,5,5,1.0,11.60964047443681,0.6449800263576005,99.10754031627584,8,1,1,3,0,1,0,2,5,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,5,0,0,2,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,16,24,3.6363636363636362,349.09090909090907,19.39393939393939,89.47746268928071,13,1,1,5,0,8,3,2,11,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6,6,6,1.0,15.509775004326936,0.861654166907052,85.83069544781756,14,2,2,5,0,20,0,4,9,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,6,6,1.0,15.509775004326936,0.861654166907052,100.0,5,2,1,4,0,14,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,10,10,2.0,66.43856189774725,3.691031216541514,98.61770357409863,7,0,1,1,1,5,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,6,6,1.0,15.509775004326936,0.861654166907052,81.12095583420833,2,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,18,23,3.75,359.65603137439945,19.98089063191108,70.47220235891382,4,0,0,1,1,4,6,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
2,12,15,2.5,134.43609377704337,7.468671876502409,84.42733421463278,9,0,0,2,2,6,4,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
2,7,9,1.2,30.319433158222125,1.6844129532345624,97.60594114606695,8,1,0,5,2,2,3,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,14,17,3.0555555555555554,197.77093622910328,10.987274234950183,85.57259358911294,11,4,0,7,0,6,3,3,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,10,12,1.7142857142857142,68.33680652339717,3.796489251299843,85.33762675091594,9,0,0,2,2,5,4,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
3,18,23,4.7727272727272725,457.7440399310538,25.4302244406141,95.25901269752443,7,0,0,1,1,8,4,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,8,0,0,5,6,6,3,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,6,6,1.0,15.509775004326936,0.861654166907052,91.923647927996,10,1,0,4,0,12,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,18,42,8.909090909090908,1560.310118721505,86.68389548452805,58.483227709453764,13,1,2,4,0,9,9,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1
2,0,0,0.0,0.0,0.0,100.0,3,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,3,3,0.5,2.3774437510817346,0.1320802083934297,98.64415552361811,10,1,0,3,6,0,0,2,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1
4,6,6,1.0,15.509775004326936,0.861654166907052,94.23524757278607,14,1,0,5,0,8,0,2,10,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0
3,10,11,2.3333333333333335,85.26282110210897,4.736823394561609,73.40655818579066,4,0,0,2,3,1,2,1,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
2,2,2,0.5,1.0,0.05555555555555555,100.0,5,0,0,2,1,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
3,2,2,0.5,1.0,0.05555555555555555,82.24136870155313,4,1,0,2,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
5,15,24,5.333333333333333,500.08199623789034,27.78233312432724,87.50236030684529,14,1,2,3,1,9,5,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5,6,6,1.0,15.509775004326936,0.861654166907052,96.6654598667335,11,3,0,6,0,14,1,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,7,8,1.875,42.11032383086406,2.3394624350480036,96.63979577959967,10,1,0,3,1,7,2,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,5,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,8,8,1.5,36.0,2.0,91.94299908169275,13,1,1,2,0,5,1,2,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1
3,9,12,3.2,121.72512005538482,6.762506669743601,94.99010860802464,7,0,0,2,1,8,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
2,3,3,0.5,2.3774437510817346,0.1320802083934297,100.0,5,1,0,3,4,2,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,18,24,5.090909090909091,509.4890183580425,28.30494546433569,89.46935352067358,12,1,0,4,2,8,6,2,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0
2,0,0,0.0,0.0,0.0,100.0,5,1,0,4,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0.0,0.0,0.0,100.0,9,0,0,5,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,6,0.5,6.965784284662087,0.3869880158145604,98.7580540394041,9,0,0,4,0,9,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,13,16,2.2222222222222223,131.57118997834996,7.309510554352776,96.37763963368083,6,2,1,6,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,5,5,1.0,11.60964047443681,0.6449800263576005,99.21795432648115,9,2,0,3,1,15,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2,0,0,0.0,0.0,0.0,100.0,10,0,0,1,4,3,0,1,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
2,2,2,0.5,1.0,0.05555555555555555,87.21527227173385,2,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,8,8,1.5,36.0,2.0,98.66866443848977,7,1,0,3,2,5,0,1,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,2,2,0.5,1.0,0.05555555555555555,100.0,12,1,0,3,3,8,0,3,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0
1,0,0,0.0,0.0,0.0,100.0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
